Name,Total Matches,Innings,Average Score,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Total Runs
Rahul Sanghvi,10,2,4.0,72.72,8.0,0.0,1.0,0.0,0.0,8
Varun Aaron,9,3,8.0,53.33,6.0,1.0,0.0,0.0,0.0,8
Vikram Singh,2,1,8.0,61.53,8.0,1.0,0.0,0.0,0.0,8
Sanjay Raul,2,2,4.0,57.14,8.0,0.0,0.0,0.0,0.0,8
Pankaj Dharmani,1,1,8.0,100.0,8.0,0.0,0.0,0.0,0.0,8
Paras Mhambrey,3,1,0.0,140.0,7.0,1.0,0.0,0.0,0.0,7
Tinu Yohannan,3,2,0.0,63.63,5.0,0.0,0.0,0.0,0.0,7
Nitish Rana,1,1,7.0,50.0,7.0,0.0,0.0,0.0,0.0,7
Ashok Patel,8,2,3.0,54.54,6.0,0.0,0.0,0.0,0.0,6
Utpal Subodh Chatterjee,3,2,6.0,20.0,3.0,0.0,0.0,0.0,0.0,6
Bhupinder Singh,2,1,6.0,46.15,6.0,0.0,0.0,0.0,0.0,6
Pochiah Krishnamurthy,1,1,6.0,46.15,6.0,0.0,0.0,0.0,0.0,6
Laxman Sivaramakrishnan,16,4,2.5,20.83,2.0,0.0,0.0,0.0,0.0,5
Aavishkar Salvi,4,3,2.0,28.57,4.0,0.0,0.0,0.0,0.0,4
Gyanendrakumar Kedarnath Pandey,2,2,4.0,36.36,4.0,0.0,0.0,0.0,0.0,4
Ramchandra Sudhakar Rao,1,1,4.0,28.57,4.0,0.0,0.0,0.0,0.0,4
Ravi Bishnoi,1,1,0.0,200.0,4.0,1.0,0.0,0.0,0.0,4
Gursharan Singh,1,1,4.0,40.0,4.0,0.0,0.0,0.0,0.0,4
Dodda Ganesh,1,1,4.0,50.0,4.0,0.0,0.0,0.0,0.0,4
Suru Nayak,4,1,3.0,15.78,3.0,0.0,0.0,0.0,0.0,3
Jayant Yadav,2,2,3.0,42.85,2.0,0.0,0.0,0.0,0.0,3
Pankaj Singh,1,1,0.0,100.0,3.0,0.0,0.0,0.0,0.0,3
Prasidh Krishna,17,7,1.0,11.76,2.0,0.0,0.0,0.0,0.0,2
Umran Malik,10,4,2.0,18.18,2.0,0.0,0.0,0.0,0.0,2
Saradindu Purnendu Mukherjee,3,1,0.0,100.0,2.0,0.0,0.0,0.0,0.0,2
Kuldeep Sen,1,1,0.0,50.0,2.0,0.0,0.0,0.0,0.0,2
Krishnappa Gowtham,1,1,2.0,66.66,2.0,0.0,0.0,0.0,0.0,2
Shivlal Yadav,7,2,0.0,6.25,1.0,0.0,0.0,0.0,0.0,1
Rajinder Singh Ghai,6,1,1.0,33.33,1.0,0.0,0.0,0.0,0.0,1
Yograj Singh,6,4,0.5,8.33,1.0,0.0,0.0,0.0,0.0,1
Rahul Sharma,4,1,1.0,50.0,1.0,0.0,0.0,0.0,0.0,1
Sudeep Tyagi,4,1,0.0,50.0,1.0,0.0,0.0,0.0,0.0,1
Siddarth Kaul,3,2,0.5,33.33,1.0,0.0,0.0,0.0,0.0,1
Naman Ojha,1,1,1.0,14.28,1.0,0.0,0.0,0.0,0.0,1
